Round,Date,Class,Session,Driver,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,P,Aiden Harbaugh,1:12.495,1:27.040,,,,,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Caleb Smith,1:05.080,1:04.281,1:03.386,1:03.479,1:02.975,1:03.486,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Preston Fisher,1:07.812,,,,,,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Cole Vetter,1:07.992,1:05.062,1:04.329,1:04.352,1:03.929,1:03.525,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Kaden Harter,1:06.581,1:03.864,1:03.273,1:03.032,1:03.079,1:02.270,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Clay O'brien,1:07.984,1:06.612,1:06.766,1:06.565,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Wyatt Cataldo,1:09.032,1:09.359,1:08.577,1:07.960,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Ashlyn Taylor,1:10.699,1:09.145,1:09.102,1:08.112,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Anna Mccrone,1:09.217,1:09.125,1:10.055,1:07.540,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Derek Wargo,1:07.221,1:06.242,1:06.157,1:05.705,,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Joe Bechtold,1:06.554,1:05.831,1:05.775,1:08.820,,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Ian Quinn,1:06.761,1:07.000,1:06.916,1:07.040,1:06.625,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Liam Engelmann,1:11.528,1:10.917,1:10.927,1:11.081,1:10.670,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Lucas Mccrone,1:11.292,1:11.446,1:10.140,1:11.382,1:09.947,,,,,,,,,
Round 2,2025-09-06,Piston Kup/Bambino,P,Gunner Surace,1:46.490,1:42.380,1:41.125,,,,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Eric Baun,1:11.857,1:11.165,1:10.912,1:12.727,1:11.129,1:11.427,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Preston Fisher,1:12.530,1:11.223,1:10.602,1:11.997,1:11.368,1:11.571,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Wyatt Cataldo,1:11.737,1:11.478,1:11.173,1:11.261,1:10.842,1:11.044,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Carlos Myers,1:22.365,1:21.088,1:19.049,1:19.636,1:18.564,,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Clay O'brien,1:10.980,1:10.810,1:10.588,1:10.768,1:10.465,1:10.488,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Gabriel Payne,1:11.107,1:10.811,1:10.279,1:09.579,1:09.067,1:09.558,,,,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,Dominic Borelli,1:34.224,1:34.449,1:28.384,1:30.062,,,,,,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,Aiden Harbaugh,1:12.096,1:12.466,1:12.216,1:13.634,1:12.099,,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Caleb Smith,1:04.089,1:03.214,1:02.625,1:03.099,1:02.694,1:02.597,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Gabriel Payne,1:02.090,1:02.115,1:02.133,1:02.098,1:01.906,1:01.652,1:01.902,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Cole Vetter,1:03.072,1:03.182,1:03.203,1:03.078,1:02.935,1:02.494,1:02.929,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Kaden Harter,1:03.484,1:02.793,1:02.587,1:02.231,1:02.471,1:02.165,1:02.325,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Clay O'brien,1:07.115,1:07.063,1:07.093,1:06.808,1:07.312,1:06.857,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Wyatt Cataldo,1:07.916,1:07.814,1:08.564,1:08.237,1:07.865,1:07.734,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Ashlyn Taylor,1:08.949,1:08.794,1:08.442,1:08.429,1:09.390,1:08.084,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Anna Mccrone,1:08.128,1:08.920,1:09.518,1:08.370,1:08.910,1:08.723,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Derek Wargo,1:05.445,1:05.420,1:05.697,1:05.868,1:05.872,1:05.601,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Alexandre Thebaud,1:08.205,1:07.674,1:07.954,1:08.265,1:07.636,1:07.597,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Ian Quinn,1:06.510,1:06.626,1:06.855,1:06.867,1:06.952,1:06.919,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Liam Engelmann,1:11.524,1:10.557,1:11.197,1:09.649,1:10.619,1:10.990,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Lucas Mccrone,1:09.903,1:09.489,1:10.251,1:10.462,1:10.057,1:10.334,,,,,,,,
Round 2,2025-09-06,Piston Kup/Bambino,Q,Gunner Surace,1:40.010,1:47.494,2:03.309,,,,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Gabriel Payne,1:03.411,1:11.681,1:09.757,1:09.101,1:09.533,1:09.481,1:09.092,1:09.382,1:09.132,1:09.516,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Clay O'brien,1:03.493,1:12.815,1:10.553,1:10.277,1:10.326,1:10.426,1:10.081,1:10.356,1:12.096,1:10.375,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Preston Fisher,1:03.571,1:12.137,1:10.195,1:10.008,1:10.655,1:10.282,1:10.336,1:10.142,1:10.334,1:10.308,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Wyatt Cataldo,1:03.687,1:13.114,1:10.491,1:09.928,1:10.324,1:10.438,1:10.144,1:10.389,1:11.461,1:10.735,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Eric Baun,1:03.816,1:13.867,1:11.030,1:10.411,1:10.836,1:11.526,1:11.135,1:11.368,1:10.821,1:11.649,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Carlos Myers,1:04.043,1:21.042,1:17.726,1:18.474,1:17.839,1:18.280,1:17.548,1:17.536,1:17.602,,,,,
