Round,Date,Class,Session,Pos,Kart#,Driver,Class Code,Laps,Avg Speed,Gap,Best Lap,Best On Lap,Team
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,P,1,924,Aiden Harbaugh,206MIN,2,33.65 MPH,,1:12.495,1,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,P,DNS,25,Dominic Borelli,T4MIN,0,,,,,Borelli Motorsports
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,P,1,924,Aiden Harbaugh,,2,33.65 MPH,-,1:12.495,1,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,P,DNS,25,Dominic Borelli,,0,,,,,Borelli Motorsports
Round 2,2025-09-06,ROTAX Junior Max,P,1,005,Kaden Harter,KASR,6,42.15 MPH,,1:02.270,6,M
Round 2,2025-09-06,ROTAX Junior Max,P,2,11,Caleb Smith,JRMAX,6,42.09 MPH,0.705,1:02.975,5,
Round 2,2025-09-06,ROTAX Junior Max,P,3,810,Cole Vetter,JRMAX,6,41.38 MPH,1.255,1:03.525,6,
Round 2,2025-09-06,ROTAX Junior Max,P,4,224,Preston Fisher,JRMAX,1,39.59 MPH,5.542,1:07.812,1,PKC
Round 2,2025-09-06,ROTAX Junior Max,P,DNS,45,Gabriel Payne,JRMAX,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,DNS,53,Anna Mccrone,JRMAX,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,DNS,899,Lucas Mccrone,KASR,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,1,005,Kaden Harter,,6,42.15 MPH,-,1:02.270,6,M
Round 2,2025-09-06,ROTAX Junior Max,P,DNS,899,Lucas Mccrone,,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,1,11,Caleb Smith,,6,42.09 MPH,-,1:02.975,5,
Round 2,2025-09-06,ROTAX Junior Max,P,2,810,Cole Vetter,,6,41.38 MPH,0.550,1:03.525,6,
Round 2,2025-09-06,ROTAX Junior Max,P,3,224,Preston Fisher,,1,39.59 MPH,4.837,1:07.812,1,PKC
Round 2,2025-09-06,ROTAX Junior Max,P,DNS,45,Gabriel Payne,,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,DNS,53,Anna Mccrone,,0,,,,,
Round 2,2025-09-06,T4 Junior,P,1,0,Derek Wargo,,4,40.47 MPH,,1:05.705,4,
Round 2,2025-09-06,T4 Junior,P,3,53,Anna Mccrone,,4,38.91 MPH,1.835,1:07.540,4,
Round 2,2025-09-06,T4 Junior,P,4,33,Wyatt Cataldo,,4,39.06 MPH,2.255,1:07.960,4,M
Round 2,2025-09-06,T4 Junior,P,5,80,Ashlyn Taylor,,4,38.76 MPH,2.407,1:08.112,4,M
Round 2,2025-09-06,T4 Senior,P,1,18,Joe Bechtold,,4,40.22 MPH,,1:05.775,3,Privateer
Round 2,2025-09-06,T4 Senior,P,2,79,Ian Quinn,,5,40.15 MPH,0.850,1:06.625,5,M
Round 2,2025-09-06,T4 Senior,P,3,899,Lucas Mccrone,,5,37.89 MPH,4.172,1:09.947,5,
Round 2,2025-09-06,T4 Senior,P,4,48,Liam Engelmann,,5,37.8 MPH,4.895,1:10.670,5,
Round 2,2025-09-06,T4 Senior,P,DNS,68,Alexandre Thebaud,,0,,,,,Privateer
Round 2,2025-09-06,Piston Kup/Bambino,P,1,6,Gunner Surace,,3,25.98 MPH,,1:41.125,3,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,1,45,Gabriel Payne,206JR,6,38.31 MPH,,1:09.067,5,
Round 2,2025-09-06,206 Junior/390/Senior,Q,3,7,Preston Fisher,206JR,6,37.52 MPH,1.535,1:10.602,3,PKC
Round 2,2025-09-06,206 Junior/390/Senior,Q,4,33,Wyatt Cataldo,206JR,6,37.67 MPH,1.775,1:10.842,5,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,5,3,Eric Baun,206-390,6,37.53 MPH,1.845,1:10.912,3,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,6,86,Carlos Myers,206-390,5,33.5 MPH,9.497,1:18.564,5,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,DNS,12094762,Erik hubert Kiszniewski,206SR,0,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,1,45,Gabriel Payne,,6,38.31 MPH,-,1:09.067,5,
Round 2,2025-09-06,206 Junior/390/Senior,Q,3,7,Preston Fisher,,6,37.52 MPH,1.535,1:10.602,3,PKC
Round 2,2025-09-06,206 Junior/390/Senior,Q,4,33,Wyatt Cataldo,,6,37.67 MPH,1.775,1:10.842,5,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,1,3,Eric Baun,,6,37.53 MPH,-,1:10.912,3,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,2,86,Carlos Myers,,5,33.5 MPH,7.652,1:18.564,5,M
Round 2,2025-09-06,206 Junior/390/Senior,Q,DNS,12094762,Erik hubert Kiszniewski,,0,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,1,924,Aiden Harbaugh,206MIN,5,37.03 MPH,,1:12.096,1,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,2,25,Dominic Borelli,T4MIN,4,29.25 MPH,16.288,1:28.384,3,Borelli Motorsports
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,1,924,Aiden Harbaugh,,5,37.03 MPH,-,1:12.096,1,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,1,25,Dominic Borelli,,4,29.25 MPH,-,1:28.384,3,Borelli Motorsports
Round 2,2025-09-06,ROTAX Junior Max,Q,1,45,Gabriel Payne,JRMAX,7,43.31 MPH,,1:01.652,6,
Round 2,2025-09-06,ROTAX Junior Max,Q,2,005,Kaden Harter,KASR,7,42.9 MPH,0.513,1:02.165,6,M
Round 2,2025-09-06,ROTAX Junior Max,Q,3,810,Cole Vetter,JRMAX,7,42.62 MPH,0.842,1:02.494,6,
Round 2,2025-09-06,ROTAX Junior Max,Q,4,11,Caleb Smith,JRMAX,6,42.57 MPH,0.945,1:02.597,6,
Round 2,2025-09-06,ROTAX Junior Max,Q,DNS,224,Preston Fisher,JRMAX,0,,,,,PKC
Round 2,2025-09-06,ROTAX Junior Max,Q,DNS,53,Anna Mccrone,JRMAX,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,DNS,899,Lucas Mccrone,KASR,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,1,45,Gabriel Payne,,7,43.31 MPH,-,1:01.652,6,
Round 2,2025-09-06,ROTAX Junior Max,Q,2,810,Cole Vetter,,7,42.62 MPH,0.842,1:02.494,6,
Round 2,2025-09-06,ROTAX Junior Max,Q,3,11,Caleb Smith,,6,42.57 MPH,0.945,1:02.597,6,
Round 2,2025-09-06,ROTAX Junior Max,Q,DNS,224,Preston Fisher,,0,,,,,PKC
Round 2,2025-09-06,ROTAX Junior Max,Q,DNS,53,Anna Mccrone,,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,1,005,Kaden Harter,,7,42.9 MPH,-,1:02.165,6,M
Round 2,2025-09-06,ROTAX Junior Max,Q,DNS,899,Lucas Mccrone,,0,,,,,
Round 2,2025-09-06,T4 Junior,Q,1,0,Derek Wargo,,6,40.89 MPH,,1:05.420,2,
Round 2,2025-09-06,T4 Junior,Q,3,33,Wyatt Cataldo,,6,39.47 MPH,2.314,1:07.734,6,M
Round 2,2025-09-06,T4 Junior,Q,4,80,Ashlyn Taylor,,6,39.09 MPH,2.664,1:08.084,6,M
Round 2,2025-09-06,T4 Junior,Q,5,53,Anna Mccrone,,6,39.04 MPH,2.708,1:08.128,1,
Round 2,2025-09-06,T4 Senior,Q,1,79,Ian Quinn,,6,40.19 MPH,,1:06.510,1,M
Round 2,2025-09-06,T4 Senior,Q,2,68,Alexandre Thebaud,,6,39.54 MPH,1.087,1:07.597,6,Privateer
Round 2,2025-09-06,T4 Senior,Q,3,899,Lucas Mccrone,,6,38.3 MPH,2.979,1:09.489,2,
Round 2,2025-09-06,T4 Senior,Q,4,48,Liam Engelmann,,6,37.94 MPH,3.139,1:09.649,4,
Round 2,2025-09-06,T4 Senior,Q,5,18,Joe Bechtold,,,,,,,Privateer
Round 2,2025-09-06,Piston Kup/Bambino,Q,1,6,Gunner Surace,,3,24.34 MPH,,1:40.010,1,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,1,45,Gabriel Payne,206JR,10,38.9 MPH,,1:09.092,7,
Round 2,2025-09-06,206 Junior/390/Senior,PF,2,7,Preston Fisher,206JR,10,38.46 MPH,7.882,1:10.008,4,PKC
Round 2,2025-09-06,206 Junior/390/Senior,PF,3,33,Wyatt Cataldo,206JR,10,38.31 MPH,10.625,1:09.928,4,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,5,3,Eric Baun,206-390,10,38 MPH,16.373,1:10.411,4,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,6,86,Carlos Myers,206-390,9,35.01 MPH,1 Lap,1:17.536,8,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,DNS,12094762,Erik hubert Kiszniewski,206SR,0,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,1,45,Gabriel Payne,,10,38.9 MPH,-,1:09.092,7,
Round 2,2025-09-06,206 Junior/390/Senior,PF,2,7,Preston Fisher,,10,38.46 MPH,7.882,1:10.008,4,PKC
Round 2,2025-09-06,206 Junior/390/Senior,PF,3,33,Wyatt Cataldo,,10,38.31 MPH,10.625,1:09.928,4,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,1,3,Eric Baun,,10,38 MPH,-,1:10.411,4,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,2,86,Carlos Myers,,9,35.01 MPH,1 Lap,1:17.536,8,M
Round 2,2025-09-06,206 Junior/390/Senior,PF,DNS,12094762,Erik hubert Kiszniewski,,0,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,PF,1,924,Aiden Harbaugh,206MIN,10,32.81 MPH,,1:11.623,2,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,PF,2,25,Dominic Borelli,T4MIN,9,28.09 MPH,1 Lap,1:23.440,6,Borelli Motorsports
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,PF,1,924,Aiden Harbaugh,,10,32.81 MPH,-,1:11.623,2,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,PF,1,25,Dominic Borelli,,9,28.09 MPH,-,1:23.440,6,Borelli Motorsports
Round 2,2025-09-06,ROTAX Junior Max,PF,1,45,Gabriel Payne,JRMAX,10,38.62 MPH,,1:01.530,9,
Round 2,2025-09-06,ROTAX Junior Max,PF,2,810,Cole Vetter,JRMAX,10,38.11 MPH,9.280,1:02.567,10,
Round 2,2025-09-06,ROTAX Junior Max,PF,3,005,Kaden Harter,KASR,10,38.03 MPH,10.825,1:02.059,8,M
Round 2,2025-09-06,ROTAX Junior Max,PF,4,224,Preston Fisher,JRMAX,10,37.67 MPH,17.423,1:03.215,10,PKC
Round 2,2025-09-06,ROTAX Junior Max,PF,5,11,Caleb Smith,JRMAX,10,37.67 MPH,17.621,1:02.987,6,
Round 2,2025-09-06,ROTAX Junior Max,PF,DNS,53,Anna Mccrone,JRMAX,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,DNS,899,Lucas Mccrone,KASR,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,1,45,Gabriel Payne,,10,38.62 MPH,-,1:01.530,9,
Round 2,2025-09-06,ROTAX Junior Max,PF,2,810,Cole Vetter,,10,38.11 MPH,9.280,1:02.567,10,
Round 2,2025-09-06,ROTAX Junior Max,PF,3,224,Preston Fisher,,10,37.67 MPH,17.423,1:03.215,10,PKC
Round 2,2025-09-06,ROTAX Junior Max,PF,4,11,Caleb Smith,,10,37.67 MPH,17.621,1:02.987,6,
Round 2,2025-09-06,ROTAX Junior Max,PF,DNS,53,Anna Mccrone,,0,,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,1,005,Kaden Harter,,10,38.03 MPH,-,1:02.059,8,M
Round 2,2025-09-06,ROTAX Junior Max,PF,DNS,899,Lucas Mccrone,,0,,,,,
Round 2,2025-09-06,T4 Junior,PF,1,0,Derek Wargo,,10,35.8 MPH,,1:05.827,7,
Round 2,2025-09-06,T4 Junior,PF,3,53,Anna Mccrone,,10,34.29 MPH,33.088,1:08.803,5,
Round 2,2025-09-06,T4 Junior,PF,4,80,Ashlyn Taylor,,10,34.26 MPH,33.779,1:08.570,5,M
Round 2,2025-09-06,T4 Junior,PF,5,33,Wyatt Cataldo,,2,23.58 MPH,8 Laps,1:08.356,2,M
Round 2,2025-09-06,T4 Senior,PF,1,18,Joe Bechtold,,10,35.01 MPH,,1:06.128,6,Privateer
Round 2,2025-09-06,T4 Senior,PF,2,79,Ian Quinn,,10,34.78 MPH,5.190,1:07.109,6,M
Round 2,2025-09-06,T4 Senior,PF,3,68,Alexandre Thebaud,,10,34.53 MPH,10.862,1:07.571,6,Privateer
Round 2,2025-09-06,T4 Senior,PF,4,48,Liam Engelmann,,10,33.56 MPH,33.161,1:09.439,4,
Round 2,2025-09-06,T4 Senior,PF,5,899,Lucas Mccrone,,3,25.97 MPH,7 Laps,1:10.269,3,
Round 2,2025-09-06,206 Junior/390/Senior,F,2,45,Gabriel Payne,206JR,14,35.31 MPH,0.237,1:08.712,8,
Round 2,2025-09-06,206 Junior/390/Senior,F,3,7,Preston Fisher,206JR,14,35 MPH,9.666,1:09.479,8,PKC
Round 2,2025-09-06,206 Junior/390/Senior,F,4,33,Wyatt Cataldo,206JR,14,34.88 MPH,13.290,1:09.632,3,M
Round 2,2025-09-06,206 Junior/390/Senior,F,5,3,Eric Baun,206-390,14,34.19 MPH,35.116,1:10.238,6,M
Round 2,2025-09-06,206 Junior/390/Senior,F,6,86,Carlos Myers,206-390,13,31.18 MPH,1 Lap,1:17.069,9,M
Round 2,2025-09-06,206 Junior/390/Senior,F,DNS,12094762,Erik hubert Kiszniewski,206SR,0,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,F,2,45,Gabriel Payne,,14,35.31 MPH,0.237,1:08.712,8,
Round 2,2025-09-06,206 Junior/390/Senior,F,3,7,Preston Fisher,,14,35 MPH,9.666,1:09.479,8,PKC
Round 2,2025-09-06,206 Junior/390/Senior,F,4,33,Wyatt Cataldo,,14,34.88 MPH,13.290,1:09.632,3,M
Round 2,2025-09-06,206 Junior/390/Senior,F,1,3,Eric Baun,,14,34.19 MPH,-,1:10.238,6,M
Round 2,2025-09-06,206 Junior/390/Senior,F,2,86,Carlos Myers,,13,31.18 MPH,1 Lap,1:17.069,9,M
Round 2,2025-09-06,206 Junior/390/Senior,F,DNS,12094762,Erik hubert Kiszniewski,,0,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,F,1,924,Aiden Harbaugh,206MIN,12,33.07 MPH,,1:11.748,4,ASI
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,F,2,25,Dominic Borelli,T4MIN,11,27.48 MPH,1 Lap,1:24.011,6,Borelli Motorsports
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,F,1,924,Aiden Harbaugh,,12,33.07 MPH,-,1:11.748,4,ASI
